n_blocked,tainted_flow_left,random_flow_left,n_components,largest_component
0,1.0,1.0,16,1877
1,0.8557,0.9998,53,1818
2,0.8423,0.9987,54,1812
3,0.8393,0.9983,59,1804
4,0.8357,0.9962,60,1802
5,0.8291,0.9936,61,1800
6,0.826,0.9974,72,1787
7,0.8171,0.9891,72,1786
8,0.8048,0.9876,81,1772
9,0.8048,0.9954,86,1762
10,0.756,0.9825,106,1725
11,0.75,0.9895,108,1721
12,0.5776,0.9806,144,1658
13,0.5776,0.9895,146,1646
14,0.5661,0.9901,146,1645
15,0.5599,0.9909,147,1643
16,0.5525,0.9721,147,1642
17,0.546,0.9778,148,1640
18,0.546,0.9761,150,1636
19,0.543,0.9842,153,1623
20,0.4766,0.9903,174,1568
21,0.4749,0.9804,178,1562
22,0.4749,0.9887,178,1561
23,0.4749,0.9772,181,1548
24,0.4749,0.9824,184,1521
25,0.4749,0.975,185,1519
26,0.4729,0.9806,186,1517
27,0.4729,0.9707,191,1502
28,0.4694,0.9657,196,1493
29,0.4667,0.9702,198,1483
30,0.4667,0.9668,199,1481
