gid,request_type,weight,reason
100000005767403100,next_hop_outgoing,6219.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=35%, меченых 18 тыс"
100000005075949100,next_hop_outgoing,3988.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=34%, меченых 12 тыс"
100000003072205100,next_hop_outgoing,637.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=50%, меченых 1 тыс"
100000001845505100,next_hop_outgoing,443.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=32%, меченых 1 тыс"
100000004856746100,next_hop_outgoing,388.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=33%, меченых 1 тыс"
100000005910895100,next_hop_outgoing,344.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=32%, меченых 1 тыс"
100000003230329100,next_hop_outgoing,289.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 925"
100000004674412100,next_hop_outgoing,243.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=33%, меченых 731"
100000000926078100,next_hop_outgoing,238.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=33%, меченых 711"
100000004272302100,next_hop_outgoing,156.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=29%, меченых 540"
100000000655469100,next_hop_outgoing,147.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=30%, меченых 492"
100000000704700100,next_hop_outgoing,50.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 158"
100000005567828100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=33%, меченых 0"
100000004200745100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=32%, меченых 0"
100000003989033100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=34%, меченых 0"
100000005782886100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 0"
100000004049912100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=27%, меченых 0"
100000008757301100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=32%, меченых 0"
100000004673335100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=28%, меченых 0"
100000008628818100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=33%, меченых 0"
100000001286703100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 0"
100000000404740100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 0"
100000004268036100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 0"
100000001256409100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 0"
100000005360814100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 0"
100000002369454100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=30%, меченых 0"
100000008727982100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=33%, меченых 0"
100000000600707100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=34%, меченых 0"
100000004500781100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=32%, меченых 0"
100000008703533100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=30%, меченых 0"
100000004549591100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 0"
100000002700161100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 0"
100000000424935100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=27%, меченых 0"
100000005723580100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=29%, меченых 0"
100000005293969100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=26%, меченых 0"
100000002512742100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=31%, меченых 0"
100000001816678100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=32%, меченых 0"
100000004586598100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=34%, меченых 0"
100000003692843100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=33%, меченых 0"
100000002622822100,next_hop_outgoing,0.0,"Выгрузить исходящие (5-й хоп): P(переводит дальше)=35%, меченых 0"
